Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
169,Black Lagoon,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/227037l.jpg
170,Rosario to Vampire: Season II,Shounen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/1/270596l.jpg
171,Tasogare Otome x Amnesia,Shounen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/188846l.jpg
172,Yofukashi no Uta,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/224212l.jpg
173,Bakemonogatari,Shounen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/2/210355l.jpg
174,The Fable,Seinen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/2/152911l.jpg
175,NHK ni Youkoso!,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/172691l.jpg
176,SKET Dance,Shounen,Manga,Finished,32,https://cdn.myanimelist.net/images/manga/1/173959l.jpg
177,Shijou Saikyou no Deshi Kenichi,Shounen,Manga,Finished,61,https://cdn.myanimelist.net/images/manga/2/169883l.jpg
178,Ballroom e Youkoso,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/186664l.jpg
179,Sora no Otoshimono,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/2/188988l.jpg
180,Machida-kun no Sekai,Shoujo,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/168062l.jpg
181,Yamada-kun to 7-nin no Majo,Shounen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/1/191685l.jpg
182,Cat Street,Shoujo,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/2/176481l.jpg
183,Akumetsu,Shounen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/2/183734l.jpg
184,Koukou Debut,Shoujo,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/3/265953l.jpg
185,Kimi wa Houkago Insomnia,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/221335l.jpg
186,Nichijou,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/164728l.jpg
187,My Girl,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/259105l.jpg
188,Hikaru no Go,Shounen,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/2/170574l.jpg
189,Karakai Jouzu no Takagi-san,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/136045l.jpg
190,Eden: It's an Endless World!,Seinen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/2/63117l.jpg
191,Kuragehime,Josei,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/3/149209l.jpg
192,Berserk: Shinen no Kami 2,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/162254l.jpg
193,Sono Bisque Doll wa Koi wo Suru,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/215054l.jpg
194,Innocent,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/275351l.jpg
195,Ookami Kodomo no Ame to Yuki,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/165496l.jpg
196,Girl Friends,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/262292l.jpg
197,Genshiken,Seinen,Manga,Finished,21,https://cdn.myanimelist.net/images/manga/3/161681l.jpg
198,Uchuu Kyoudai,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/166256l.jpg
199,Nodame Cantabile,Josei,Manga,Finished,25,https://cdn.myanimelist.net/images/manga/2/153962l.jpg
200,Dead Dead Demons Dededede Destruction,Seinen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/3/142079l.jpg
201,Summertime Render,Shounen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/3/261167l.jpg
202,Shin Angyo Onshi,Seinen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/1/161805l.jpg
203,Bokura wa Minna Kawai-sou,Seinen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/1/204982l.jpg
204,Kodomo no Omocha,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/267715l.jpg
205,Kareshi Kanojo no Jijou,Shoujo,Manga,Finished,21,https://cdn.myanimelist.net/images/manga/1/267780l.jpg
206,Cross Game,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/1/260530l.jpg
207,Saiki Kusuo no Ψ-nan,Shounen,Manga,Finished,26,https://cdn.myanimelist.net/images/manga/2/179613l.jpg
208,Chi no Wadachi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/200350l.jpg
209,Rainbow: Nisha Rokubou no Shichinin,Seinen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/2/217981l.jpg
210,Deadman Wonderland,Shounen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/4/271990l.jpg
211,Tokidoki,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/184995l.jpg
212,Ase to Sekken,Seinen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/3/271450l.jpg
213,Yuukoku no Moriarty,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/186121l.jpg
214,Ajin,Seinen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/3/87801l.jpg
215,Omoide Emanon,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/260654l.jpg
216,Shadows House,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/215750l.jpg
217,Ao no Flag,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/3/194070l.jpg
218,Hokuto no Ken,Shounen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/3/258755l.jpg
219,Taishou Otome Otogibanashi,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/173765l.jpg
220,Devilman,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/1431l.jpg
